3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
3.2  Gültige Zweitstimmen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Partei;Insgesamt;;Davon Wähler im Alter von ... bis unter ... Jahren;;;;;;;;;;;
;;;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 70;;70 und mehr;
;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%
;;;;;;;;;;;;;;
;Schleswig-Holstein;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
Sonstige;200,9057185;9,319899256;30,50742549;18,20351304;40,22047177;16,63590335;36,2605494;11,82307583;56,19958039;8,393103679;20,3244157;6,093033163;17,39327572;3,985164737
dar. PIRATEN;46,46305623;2,155394115;12,93367844;7,717412415;14,45978152;5,98082313;8,180295673;2,667258429;8,864210811;1,323821991;1,477895924;0,443056716;0,54719386;0,125373605
dar. NPD;.;.;.;.;.;.;.;.;.;.;.;.;.;.
dar. AfD;102,0223185;4,732755931;9,737457267;5,810255292;14,17760075;5,864108139;17,37411065;5,664983875;33,15023083;4,950807861;14,91522591;4,471418391;12,66769312;2,902434523
Zusammen;2155,664058;100;167,5908678;100;241,7690877;100;306,6930292;100;669,5923526;100;333,5681122;100;436,450608;100
;Frauen;;;;;;;;;;;;;
CDU;996,8645503;43,53888526;51,17623918;32,32784053;95,91048745;38,61576139;135,4176731;41,98486087;260,1392589;38,93298398;162,1170879;46,22908045;292,1038039;53,94072187
SPD;734,3489437;32,07329862;47,94064521;30,28392782;70,93416654;28,55972191;90,63406623;28,10016281;218,7496519;32,73852909;121,148067;34,54641216;184,9423468;34,15198146
FDP;78,98995296;3,449951648;5,251082473;3,317089328;8,803480816;3,544483233;11,02197748;3,417251092;19,9857638;2,991111089;12,1667004;3,46943915;21,76094799;4,018438745
DIE LINKE;102,7141042;4,486123613;8,958038422;5,658759656;14,85739198;5,981926677;16,88447299;5,234857704;37,27799281;5,579102143;15,55084714;4,434457669;9,185360883;1,696194949
GRÜNE;229,4041096;10,01941458;26,24617959;16,57961433;30,23144891;12,17187451;41,51296276;12,8706684;87,95349189;13,16330301;24,19732215;6,900074304;19,2627043;3,557105937
Sonstige;147,2742815;6,432326281;18,73173624;11,83276833;27,63437318;11,12623227;27,06813964;8,392199119;44,06574097;6,594970689;15,50202728;4,420536266;14,27226423;2,635557035
dar. PIRATEN;28,13794377;1,22894801;7,353087299;4,644917982;7,339511844;2,955055757;4,456332473;1,381640185;6,583200454;0,985255509;1,396030976;0,398090227;1,009780723;0,18646899
dar. NPD;.;.;.;.;.;.;.;.;.;.;.;.;.;.
dar. AfD;63,85268146;2,788818773;4,627923415;2,923442062;8,010838199;3,225347141;11,33020187;3,512812901;21,81808338;3,265339858;9,301053886;2,652275427;8,764580715;1,618492483
Zusammen;2289,595942;100;158,3039211;100;248,3713489;100;322,5392922;100;668,1719003;100;350,6820518;100;541,5274281;100
;Bremen;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;96,459;29,28217551;5,234269612;21,13330929;9,834822021;22,93603923;11,00760376;26,17631943;22,55417678;24,49076545;14,80189539;28,72764681;33,02623243;43,40100797
SPD;117,204;35,5797603;7,917009738;31,96484474;13,0424369;30,4165997;14,25472401;33,8980415;32,59095401;35,3893391;20,78238658;40,33463593;28,61648875;37,60599877
FDP;11,204;3,401211856;0,767524725;3,098873118;1,276577549;2,977139056;1,453469497;3,456381848;2,336502176;2,53712327;1,740777285;3,378515635;3,629148769;4,76920021
DIE LINKE;33,284;10,10406421;2,735222566;11,04343275;4,718381674;11,00385823;4,225087121;10,0473484;12,41310384;13,47894084;5,362758689;10,40808852;3,829446112;5,032418445
GRÜNE;40,014;12,14709847;3,81353559;15,39711041;7,121437818;16,60808674;5,797196057;13,7858574;13,75808495;14,93940722;5,565927911;10,80240111;3,957817676;5,201116321
Sonstige;31,247;9,485689653;4,300303224;17,36242969;6,885683055;16,05827704;5,31368237;12,63605141;8,439754249;9,16442412;3,271168416;6,348712001;3,036408686;3,990258286
dar. PIRATEN;8,455;2,566694595;2,165374054;8,742675296;2,507394366;5,847558341;1,599094664;3,80268164;1,570405745;1,705246843;0,366209088;0,710741771;0,246522082;0,323963893
dar. NPD;3,64;1,104999211;0,294267624;1,188102482;1,032819569;2,408664854;0,669740566;1,592657528;0,998857938;1,084623736;0,230111641;0,446602666;0,414202662;0,544319219
dar. AfD;12,307;3,736050903;0,981152286;3,961392183;1,989228782;4,63913117;1,638061571;3,895345787;3,893087734;4,227363272;1,972328562;3,827912359;1,833141065;2,408999274
Zusammen;329,412;100;24,76786545;100;42,87933902;100;42,05176282;100;92,09257601;100;51,52491427;100;76,09554242;100
;Männer;;;;;;;;;;;;;
CDU;42,1735282;27,07048034;2,665906403;21,24920332;4,426876169;21,2596293;5,402966949;25,33906655;10,19104469;22,64829751;6,62073439;26,90558875;12,8659996;40,84985559
SPD;57,04993913;36,61939897;4,067470263;32,42068158;6,675976634;32,06070897;7,49076473;35,13051029;16,61331542;36,92097539;10,06402083;40,89854534;12,13839126;38,53968173
FDP;5,81913323;3,73520401;0,480799359;3,83231884;0,729578827;3,503729223;0,853439784;4,002498568;1,350082515;3,000386259;0,867739344;3,526351694;1,537493402;4,881578219
DIE LINKE;17,10205786;10,97752407;1,258156361;10,02841671;2,307425638;11,08118046;2,230515056;10,46076535;6,231756292;13,84928384;3,012552117;12,24252229;2,061652391;6,545795511
GRÜNE;16,64144934;10,68186718;1,383706381;11,02914123;2,972280076;14,2740773;2,403720819;11,27307318;6,163785075;13,69822648;2,397581888;9,743383209;1,320375096;4,192222419
Sonstige;17,0054692;10,91552543;2,689873485;21,44023831;3,71078532;17,82067474;2,941268219;13,79408607;4,446973;9,882830524;1,644654516;6,683608712;1,571914661;4,990866538
